ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing Care,Physical Therapy,Occupational Therapy,Speech Therapy,Medical Social Services,Home Health Aide Services,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients had more pressure sores (bed sores) when home health care ended.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room – without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
148042,"PATHWAYS HOME HEALTH SERVICE, LLC","3633 W LAKE AVE, STE LL3",GLENVIEW,IL,60026,8476577717,PROPRIETARY,12/3/2008,Y,Y,Y,Y,Y,Y,5,71,100,99,28,9,199,98,100,199,199,199,94,54,55,65,72,51,199,201,58,201,24
148043,"EVOLUTION HOME HEALTH CARE, INC","7630 S OCUNTY LINE RD, #6",BURR RIDGE,IL,60527,6304682326,PROPRIETARY,2/16/2009,Y,Y,Y,Y,Y,Y,83,89,99,100,71,39,97,99,99,199,199,199,91,61,51,63,60,16,199,201,57,201,30
148044,"FOUR SEASONS HOME HEALTHCARE, INC",6042 W OAKTON STREET,MORTON GROVE,IL,60053,8479661616,PROPRIETARY,3/9/2009,Y,Y,N,N,N,Y,94,99,100,100,91,89,100,100,100,199,199,199,99,58,28,67,92,96,199,201,60,201,19
148045,"PRESTIGE HOME HEALTH CARE, INC",7840 W 103RD STREET,PALOS HILLS,IL,60465,7082339057,PROPRIETARY,1/29/2009,Y,Y,Y,Y,N,Y,84,89,98,98,52,39,199,98,100,199,100,100,79,47,38,68,41,48,199,201,38,201,32
148046,"VCP HOME HEALTH CARE, INC","1100 ESSINGTON RD, STE 5",JOLIET,IL,60435,8157257391,PROPRIETARY,4/13/2009,Y,Y,Y,Y,Y,Y,94,99,100,100,55,40,100,100,100,199,100,100,100,79,44,87,75,70,199,201,56,201,0
148047,"STELLAR HOME HEALTH CARE, INC","3530 W PETERSON AVE, STE 209",CHICAGO,IL,60659,7735830921,PROPRIETARY,3/28/2009,Y,Y,Y,Y,Y,Y,43,199,199,20,70,53,199,97,199,199,199,199,77,54,69,77,51,28,199,201,58,201,19
148048,"DELTA HOME HEALTH CARE, INC","900 JORIE BOULEVARD, STE 101",OAK BROOK,IL,60523,6304720122,PROPRIETARY,2/12/2009,Y,Y,Y,Y,Y,Y,91,97,98,100,48,44,199,99,97,199,95,97,99,64,63,82,62,48,199,201,39,201,30
148049,"CONVERGE HOME HEALTH CARE, LLC","1100 E WOODFIELD ROAD, STE 130",SCHAUMBURG,IL,60173,8473750323,PROPRIETARY,4/30/2009,Y,Y,Y,Y,Y,Y,96,100,99,100,55,45,100,100,100,199,99,100,99,50,50,71,82,80,85,201,67,201,21
148050,"SPRING MEADOWS HOME HEALTH CARE, LLC","1835 BROADWAY ST, SUITE 208",MELROSE PARK,IL,60160,7082238960,PROPRIETARY,5/14/2009,Y,Y,Y,Y,Y,Y,91,98,100,100,58,52,100,100,100,199,199,100,100,48,44,68,75,51,199,201,36,201,33
148051,"TENDER TOUCH HOME HEALTH CARE, INC","4001 W DEVON AVE, STE 202",CHICAGO,IL,60646,7732868930,PROPRIETARY,5/2/2009,Y,Y,Y,Y,Y,Y,99,199,100,95,70,58,199,100,199,199,199,100,95,60,69,92,98,97,199,201,78,201,14
148052,"PRO VITA HOME CARE, LLC","7366 N LINCOLN AVE, STE 300",LINCOLNWOOD,IL,60712,8479838787,PROPRIETARY,4/13/2009,Y,Y,Y,Y,Y,Y,99,99,99,99,30,27,98,99,100,100,99,98,96,58,43,73,58,30,199,201,30,201,10
148053,"NEW VISIONS HHC, INC","17508 E CARRIAGEWAY, STE D",HAZEL CREST,IL,60429,7087999340,PROPRIETARY,5/26/2009,Y,Y,Y,Y,Y,Y,82,100,96,100,52,53,199,97,199,199,199,100,92,47,43,57,75,67,199,201,52,201,31
148054,HEAVEN'S ANGELS HEALTH CARE SERVICES INC,"7366 N LINCOLN AVE, STE 202",LINCOLNWOOD,IL,60712,8476797682,PROPRIETARY,5/14/2009,Y,Y,Y,Y,Y,Y,96,100,100,99,66,65,199,100,100,199,199,199,91,48,20,61,89,35,199,201,43,201,27
148055,"CALL HOME HEALTH CARE, INC","800 EAST NORTHWEST HIGHWAY, SUITE 625",PALATINE,IL,60074,8479638883,PROPRIETARY,1/22/2009,Y,Y,Y,Y,Y,Y,92,100,100,99,43,39,199,100,100,199,199,100,100,52,49,63,70,75,199,201,50,201,24
148056,"OPEN WATERS HOME HEALTH CARE, INC","7840 NORTH LINCOLN AVENUE, STE 104",SKOKIE,IL,60077,8473298585,PROPRIETARY,3/9/2009,Y,Y,Y,Y,Y,Y,91,100,100,78,74,42,100,99,100,199,100,97,89,50,35,64,73,65,199,201,45,201,32
148057,"PROFICIENT HEALTH CARE SERVICES, INC","20316 S TORRENCE AVE, STE - B",LYNWOOD,IL,60411,7088955560,PROPRIETARY,6/4/2009,Y,Y,Y,Y,Y,Y,91,93,100,80,48,27,95,100,100,199,199,100,91,56,26,74,63,62,199,201,46,201,29
148058,"SUNNY HILL HOME HEALTH CARE, INC","10222 S CICERO AVENUE, STE 201",OAK LAWN,IL,60453,7084247025,PROPRIETARY,1/23/2009,Y,Y,Y,Y,Y,Y,87,100,100,100,56,83,96,99,100,199,199,100,99,54,43,66,58,62,199,201,48,201,42
148059,SENIOR HOME HEALTH AGENCY,6031 DEMPSTER STREET,MORTON GROVE,IL,60053,8474709280,PROPRIETARY,5/15/2009,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148060,"NEW HAVEN HOME HEALTH CARE, INC","6429 W NORTH AVENUE, STE 100",OAK PARK,IL,60302,7083581050,PROPRIETARY,2/5/2009,Y,Y,Y,Y,Y,Y,91,96,100,99,72,38,199,98,100,199,100,99,97,57,50,87,88,78,199,201,53,201,15
148061,US HOSPICE AND HOME HEALTH CORP,"5860 N LINCOLN AVE, FL 2",CHICAGO,IL,60659,7733368604,PROPRIETARY,3/19/2009,Y,Y,Y,Y,Y,Y,100,95,98,79,96,91,199,97,94,199,199,99,60,68,38,81,44,54,199,201,53,201,0
148062,STATE HOME HEALTH AGENCY,"17 W 727 BUTTERFILED RD, SUITE FG",OAKBROOK TER,IL,60181,6306201400,PROPRIETARY,5/2/2009,Y,Y,Y,Y,Y,Y,98,96,100,97,28,17,91,99,95,100,96,84,100,38,31,49,70,51,199,201,27,201,32
148063,"CHICAGO MIDWEST HOME HEALTH, INC","1845 OAK STREET, STE 14",NORTHFIELD,IL,60093,8473299966,PROPRIETARY,4/20/2009,Y,Y,Y,Y,Y,Y,91,100,100,100,72,56,199,100,100,199,100,100,100,47,40,74,74,71,199,201,58,201,22
148064,"HOME BOUND HEALTHCARE, INC",1625 BETHANY ROAD,SYCAMORE,IL,60178,8158959898,PROPRIETARY,5/28/2009,Y,Y,Y,Y,Y,Y,100,100,100,100,80,75,100,100,100,199,199,98,100,59,73,77,75,74,199,201,51,201,24
148065,BENEVOLENT HOME HEALTH CARE,"4849 N SCOTT AVE, STE 111",SCHILLER PARK,IL,60176,8476784800,PROPRIETARY,12/19/2008,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148066,"ESPERANZA HOME HEALTH CARE, INC",2130 N 77TH AVE,ELMWOOD PARK,IL,60707,7084527610,PROPRIETARY,4/14/2009,Y,Y,Y,Y,Y,Y,100,199,100,100,95,69,199,100,199,199,199,199,100,75,74,88,82,81,199,201,70,201,20
148067,"SAMARITAN HEALTHCARE, LLC","415 W GOLF ROAD, STE 36",ARLINGTON HEIGHTS,IL,60005,8473579410,PROPRIETARY,6/5/2009,Y,Y,Y,Y,Y,Y,88,99,100,100,37,20,98,100,100,199,97,100,100,54,58,70,82,67,199,201,58,201,22
148068,"ABUNDANT HOME HEALTH CARE, INC",545 W TAFT AVE,SOUTH HOLLAND,IL,60473,7083315575,PROPRIETARY,7/19/2009,Y,Y,Y,N,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148069,"HOME HEALTH CONNECT, INC","123 E LAKE STREET, STE 201",BLOOMINGDALE,IL,60108,6305291344,PROPRIETARY,5/6/2009,Y,Y,Y,Y,Y,Y,92,52,97,32,69,68,199,97,100,199,199,199,46,73,55,199,59,68,199,201,41,201,30
148070,"OPTIMUM PROFESSIONALS HOME HEALTH CARE, INC","3520 SOUTH MORGAN STREET, 2ND FLOOR",CHICAGO,IL,60608,7738473220,PROPRIETARY,7/10/2009,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148071,ADVANCE HOME HEALTH CARE PROVIDER CORP,"ONE TRANSAM PLAZA DR, STE 110",OAKBROOK TER,IL,60181,6304249400,PROPRIETARY,1/29/2009,Y,Y,Y,Y,Y,Y,83,199,97,92,59,61,199,97,199,199,199,100,93,72,63,60,74,48,199,201,71,201,24
148072,LIFE OPTIONS HEALTH SERVICES,"5940 WEST TOUHY AVENUE, STE 210",NILES,IL,60714,8477689130,PROPRIETARY,8/11/2009,Y,Y,Y,Y,Y,Y,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
148073,"CRYSTAL HOME HEALTH CARE, LLC","825 MIDWAY DRIVE, STE B",WILLOWBROOK,IL,60527,6308871600,PROPRIETARY,7/29/2009,Y,Y,Y,Y,Y,Y,97,97,100,99,63,56,199,100,100,199,199,100,99,56,53,86,85,80,199,201,44,201,24
148074,ALL STAR HOME HEALTH CARE CORP,"13246 SOUTH ROUTE 59, SUITE 220",PLAINFIELD,IL,60585,8156097733,PROPRIETARY,7/15/2009,Y,Y,Y,Y,Y,Y,94,94,100,87,53,48,96,98,93,199,199,90,81,38,36,57,59,70,199,201,37,201,30
148075,"COMMUNITY CARE HOME HEALTH SERVICES, INC","10001 W ROOSEVELT ROAD, STE 201",WESTCHESTER,IL,60154,7084102605,PROPRIETARY,9/25/2009,Y,Y,Y,Y,Y,Y,83,87,97,84,54,45,100,99,100,199,100,100,97,48,43,63,90,59,199,201,38,201,37
148076,"NETT HANDS HOME CARE, INC","18227 SOUTH HARWOOD AVE, 2ND FL, UNIT 1",HOMEWOOD,IL,60430,7084361753,PROPRIETARY,9/21/2009,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148077,"MIDWEST HEALTHCARE PROVIDERS, INC",6900 MAIN ST STE 58,DOWNERS GROVE,IL,60516,6303246498,PROPRIETARY,8/4/2009,Y,Y,Y,Y,Y,Y,67,199,100,92,199,63,199,100,199,199,199,100,100,199,199,199,199,199,199,201,199,201,36
148078,"APOLLO HOME CARE, INC","5901 N CICERO AVE, STE 102",CHICAGO,IL,60646,7735459240,PROPRIETARY,9/14/2009,Y,Y,Y,Y,Y,Y,93,95,100,99,48,26,100,100,100,199,199,199,99,39,31,56,52,41,199,201,46,201,39
148079,"COVENANT HOME HEALTH CARE, INC","8401 N CRAWFORD, STE 101",SKOKIE,IL,60076,8476755431,PROPRIETARY,9/21/2009,Y,Y,Y,Y,Y,Y,97,100,100,100,72,52,100,100,100,199,199,100,100,70,86,75,84,80,199,201,72,201,26
148080,GUARANTEED MEDICAL SERVICES,6619 W ARCHER AVE,CHICAGO,IL,60638,7734988550,PROPRIETARY,8/17/2009,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148081,"BEST HOME HEALTHCARE NETWORK, INC","1263 SOUTH HIGHLAND AVENUE, SUITE 2H",LOMBARD,IL,60148,8476197166,PROPRIETARY,5/15/2009,Y,Y,Y,Y,Y,Y,97,95,100,97,75,64,199,100,199,199,199,199,94,45,50,61,24,66,199,201,63,201,32
148082,"CLASSIC HOME HEALTHCARE, INC","3531 W FULLERTON AVE, 1ST FLOOR",CHICAGO,IL,60647,7732522800,PROPRIETARY,8/11/2009,Y,Y,Y,Y,Y,Y,60,199,199,95,199,55,199,100,199,199,199,199,100,199,199,199,199,199,199,201,199,201,40
148083,"HEALTH CARE USA, INC",9933 LAWLER AVE SUITE 650A,SKOKIE,IL,60077,8476790541,PROPRIETARY,8/26/2009,Y,Y,Y,Y,Y,Y,89,52,100,55,13,5,199,92,100,199,199,49,62,46,43,67,86,69,199,201,31,201,13
148084,"EVEREST HOME HEALTHCARE, INC","10035 GRAND AVE, STE 300",FRANKLIN PARK,IL,60131,8472880804,PROPRIETARY,1/9/2009,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148085,"HYACINTH HOME HEALTH, INC","9500 S AVERS AVE, STE 5",EVERGREEN PARK,IL,60805,7084224566,PROPRIETARY,8/31/2009,Y,Y,Y,Y,Y,Y,89,98,99,99,34,17,199,98,98,199,199,98,96,51,50,49,53,59,199,201,29,201,25
148086,"FIRST CARE HEALTHCARE, INC","924 CLOCKTOWER DRIVE, STE B",SPRINGFIELD,IL,62704,2177184889,PROPRIETARY,10/27/2009,Y,Y,Y,N,N,Y,83,98,99,99,91,90,100,99,100,199,100,98,99,43,33,58,72,57,199,201,35,201,30
148087,"MEDCORE HOME HEALTH CARE, INC","1011 EAST TOUHY AVE, STE 220",DES PLAINES,IL,60018,8477686080,PROPRIETARY,10/8/2009,Y,Y,Y,Y,Y,Y,94,97,99,99,61,40,90,100,100,199,199,34,99,81,77,84,91,90,199,201,80,201,15
148088,"JAGEN HOME HEALTH SERVICES, INC","5151 N HARLEM AVE, STE 311",CHICAGO,IL,60656,7736312573,PROPRIETARY,9/29/2009,Y,Y,Y,Y,Y,Y,86,89,100,76,49,39,199,98,100,199,199,92,94,53,53,68,77,41,199,201,56,201,16
148089,HEALTH TEAM CORPORATION,"8700 WAUKEGAN RD, STE 135",MORTON GROVE,IL,60053,8474700644,PROPRIETARY,10/30/2009,Y,Y,Y,Y,Y,Y,97,91,100,98,82,92,199,100,100,199,199,199,98,47,47,62,48,55,199,201,34,201,30
148090,"VISION HOME HEALTH CARE, INC","500 W CENTRAL AVE, STE 200",MOUNT PROSPECT,IL,60056,8474839722,PROPRIETARY,7/15/2009,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148091,"SELECT HOME CARE, INC","2622 W PETERSON AVE, STE 6",CHICAGO,IL,60659,7733382230,PROPRIETARY,9/2/2009,Y,Y,Y,Y,Y,Y,87,90,97,97,35,37,199,100,100,199,199,199,100,29,46,58,88,49,199,201,51,201,18
148092,"ESSENTIAL HOME HEALTHCARE, INC","4003 PLAINFIELD/NAPERVILLE RD, STE 201",NAPERVILLE,IL,60564,6302261700,PROPRIETARY,10/17/2009,Y,Y,Y,N,Y,Y,39,98,99,98,63,84,95,97,99,199,99,94,93,45,47,70,82,73,199,201,57,201,28
148093,"D & D HOME HEALTHCARE, INC","101 ROYCE ROAD, STE 7",BOLINGBROOK,IL,60440,6307593422,PROPRIETARY,8/14/2009,Y,Y,Y,Y,Y,Y,98,100,100,100,66,38,100,100,100,199,199,100,100,22,11,48,74,16,199,201,4,201,22
148094,"ALPHA HOME HEALTH, INC","5901 NORTH CICERO AVE, SUITE 203",CHICAGO,IL,60646,7736852220,PROPRIETARY,9/8/2009,Y,Y,Y,Y,Y,Y,73,97,90,76,90,70,79,88,96,100,74,59,79,71,65,68,62,62,199,201,42,201,32
148095,"ELITE CARE AT HOME, INC",568 S WASHINGTON STREET,NAPERVILLE,IL,60540,6303647330,PROPRIETARY,11/9/2009,Y,Y,Y,Y,Y,Y,85,83,100,100,96,87,199,97,96,199,199,100,97,34,48,54,98,199,199,201,51,201,31
148096,ELITE HEALTHCARE PROVIDERS,"931 S STATE ST, STE 2",LOCKPORT,IL,60441,8158368100,PROPRIETARY,10/28/2009,Y,Y,Y,Y,Y,Y,87,92,97,96,91,83,199,98,100,199,199,199,100,45,31,39,80,72,78,201,199,201,25
148097,"COMET HOME HEALTHCARE, INC","21141 GOVERNORS HIGHWAY, STE 302",MATTESON,IL,60443,7087488100,PROPRIETARY,1/31/2010,Y,Y,Y,Y,Y,Y,83,96,97,89,34,32,100,100,100,199,100,100,60,5,0,0,3,2,199,201,0,201,40
148098,"A-CURE HEALTHCARE SOLUTIONS, INC","5097 N ELSTON AVE, STE 302",CHICAGO,IL,60630,7732029355,PROPRIETARY,7/29/2009,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148099,"MORNING STAR HEALTHCARE, INC",15105 S CICERO AVE,OAK FOREST,IL,60452,7086879850,PROPRIETARY,12/8/2009,Y,Y,Y,Y,Y,Y,28,95,100,99,34,23,199,99,100,199,100,100,99,55,50,77,62,60,199,201,37,201,11
148100,"JESSIFER HOME HEALTH SERVICE, INC",4738 N HARLEM STE 3,HARWOOD HEIGHTS,IL,60706,7088678310,PROPRIETARY,10/21/2009,Y,Y,Y,Y,Y,Y,67,199,199,93,199,70,199,96,199,199,199,199,78,199,199,199,199,199,199,201,199,201,37
148101,"CARE-MED HOME HEALTH SERVICES, INC","5200 MAIN STREET, STE 207",SKOKIE,IL,60077,8476747278,PROPRIETARY,12/16/2009,Y,Y,Y,Y,Y,Y,93,100,100,100,57,62,100,100,100,199,100,98,100,33,52,48,47,41,199,201,27,201,21
148102,"LEGEND HOME HEALTH, LLC","3405 W FULLERTON AVE, 2ND FL",CHICAGO,IL,60647,7732780100,PROPRIETARY,10/21/2009,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148103,"VIRGOS HOME HEALTH CARE, INC","8930 GROSS POINT ROAD, STE LL100",SKOKIE,IL,60077,8479658914,PROPRIETARY,10/23/2009,Y,Y,Y,Y,Y,Y,91,199,97,94,62,34,199,88,199,199,199,199,100,41,199,45,199,199,199,201,199,201,36
148104,"AFFINITY HOME HEALTH SERVICES, INC","7151 W GUNNISON STREET, SUITE 103",HARWOOD HEIGHTS,IL,60706,7088677902,PROPRIETARY,11/21/2009,Y,Y,Y,Y,Y,Y,93,92,99,70,23,16,50,100,96,199,60,43,78,57,36,63,47,31,199,201,49,201,37
148105,"UNICARE HOME HEALTH SERVICES, INC",16810 MISTY LANE,TINLEY PARK,IL,60477,7084448445,PROPRIETARY,1/8/2010,Y,Y,Y,Y,Y,Y,100,95,99,99,69,57,100,100,100,199,100,100,96,94,89,100,100,86,199,201,91,201,14
148106,"UNITED MEDICAL CARE, INC","5301 W DEMPSTER ST, STE 207",SKOKIE,IL,60077,8479669911,PROPRIETARY,12/3/2009,Y,Y,Y,Y,Y,Y,77,97,100,99,77,76,98,99,99,199,100,100,100,45,40,66,75,57,86,201,44,201,23
148107,"HOMEHEALTH OF AMERICA, INC","4436 W OAKTON ST, STE B",SKOKIE,IL,60076,8476732541,PROPRIETARY,11/13/2009,Y,Y,Y,Y,Y,Y,90,95,100,96,54,53,100,100,99,199,100,90,98,43,28,62,69,37,199,201,34,201,40
148108,"SHUREE HOME HEALTHCARE, INC",4492 W LAWRENCE AVE,CHICAGO,IL,60630,7732834950,PROPRIETARY,12/15/2009,Y,Y,Y,Y,Y,Y,88,199,100,89,17,16,199,100,199,199,199,98,98,78,85,100,100,90,199,201,76,201,26
148109,"ATRIUM HOME HEALTH SYSTEMS, INC","6600 N LINCOLN AVE, STE 200",LINCOLNWOOD,IL,60712,8479339832,PROPRIETARY,1/8/2010,Y,Y,Y,Y,Y,Y,98,100,99,99,34,22,100,100,100,100,100,97,100,59,74,94,100,87,199,201,65,201,26
148110,"HOME HEALTH ADVANTAGE, INC",6120 N MILWAUKEE AVENUE,CHICAGO,IL,60646,7737747700,PROPRIETARY,11/25/2009,Y,Y,Y,Y,Y,Y,98,199,100,100,88,82,199,100,199,199,199,199,98,64,199,65,95,62,199,201,72,201,29
148111,"JAYRON HOME CARE, INC","5940 W TOUHY AVE, STE 310",NILES,IL,60714,8476476681,PROPRIETARY,12/21/2009,Y,Y,Y,Y,Y,Y,53,74,93,87,21,11,199,100,100,199,199,100,95,42,19,32,61,80,199,201,15,201,25
148112,"AMAZING MEDICAL CARE, INC","2625 BUTTERFIELD RD, STE 138 SOUTH",OAK BROOK,IL,60523,6305726300,PROPRIETARY,12/3/2009,Y,Y,Y,Y,N,Y,88,199,199,100,35,32,199,100,199,199,199,199,96,71,59,53,75,56,199,201,199,201,3
148113,"GOOD SHEPHERD HEALTHCARE, LLC","3144 W MONTROSE AVE, STE 200",CHICAGO,IL,60618,7734781784,PROPRIETARY,2/25/2010,Y,Y,Y,Y,Y,Y,91,100,97,100,32,18,199,100,100,199,199,199,95,77,73,76,67,60,199,201,47,201,25
148114,EVEREST HEALTHCARE SOLUTIONS,"4320 WINFIELD ROAD, SECOND FLOOR",WARRENVILLE,IL,60555,6308368626,PROPRIETARY,12/29/2009,Y,Y,Y,Y,Y,Y,43,199,100,97,78,83,199,97,199,199,199,100,94,89,72,100,52,81,199,201,51,201,20
148115,"HEALING TO HEAL ANOTHER HOME HEALTHCARE, INC","19900 GOVERNORS DRIVE, STE 101",OLYMPIA FIELDS,IL,60461,7732534750,PROPRIETARY,1/25/2010,Y,Y,Y,Y,Y,Y,14,199,199,38,86,90,199,100,199,199,199,199,97,199,199,199,199,199,199,201,199,201,51
148116,"STAR HOME HEALTH SERVICES, INC",8130 1/2 S KEDZIE AVE,CHICAGO,IL,60652,7734988943,PROPRIETARY,12/18/2009,Y,Y,Y,Y,N,Y,89,84,95,85,82,85,199,91,100,199,199,199,41,38,61,13,42,57,199,201,28,201,53
148117,"HOME HEALTH CONNECTIONS, INC",7348 N MONTICELLO AVE,SKOKIE,IL,60076,8476761244,PROPRIETARY,2/19/2010,Y,Y,Y,Y,Y,Y,97,199,97,97,199,71,199,97,199,199,199,199,97,57,69,66,199,199,199,201,34,201,24
148118,"24SEVEN HEALTH CARE SERVICES, INC",3318 W PETERSON AVENUE,CHICAGO,IL,60659,7734633755,PROPRIETARY,3/15/2010,Y,Y,Y,Y,Y,Y,30,77,99,98,57,37,93,100,98,199,85,61,99,92,83,91,74,86,199,201,76,201,26
148119,"COVENANT HEALTHCARE SERVICES & STAFFING, INC","840 E 87TH STREET, STE 211A",CHICAGO,IL,60619,7734879550,PROPRIETARY,3/15/2010,Y,Y,Y,Y,Y,Y,84,95,99,98,58,43,97,99,100,199,100,99,87,60,40,76,68,48,199,201,45,201,15
148120,"WILLOW HOME CARE, LTD","13246 S ROUTE 59, STE 102",PLAINFIELD,IL,60585,8152303910,PROPRIETARY,2/17/2010,Y,Y,Y,Y,Y,Y,86,94,100,99,86,86,95,99,97,199,100,98,98,50,41,66,80,70,199,201,45,201,30
148121,"GOLD COAST HOME HEALTH, INC",418 E 75TH STREET,CHICAGO,IL,60619,7734883800,PROPRIETARY,3/3/2010,Y,Y,Y,Y,Y,Y,90,199,100,90,72,25,199,100,199,199,199,199,100,32,17,41,9,20,199,201,11,201,38
148122,"GREAT PARAGON HEALTHCARE, INC",2640 W TOUHY AVE,CHICAGO,IL,60645,7732747694,PROPRIETARY,12/7/2009,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148123,"DELIVERANCE HOME HEALTH CARE, INC","1921 N HARLEM AVE, STE 107",CHICAGO,IL,60707,7736222646,PROPRIETARY,3/25/2010,Y,Y,Y,Y,Y,Y,98,199,100,98,78,80,199,100,199,199,199,39,100,67,80,88,91,85,199,201,71,201,23
148124,"ALPHAZETA HEALTHCARE SERVICES, LLC","5901 N CICERO AVE, STE 100",CHICAGO,IL,60646,7734811111,PROPRIETARY,12/18/2009,Y,Y,Y,Y,Y,Y,81,100,100,95,68,30,88,99,98,199,199,78,96,50,40,60,66,55,199,201,46,201,31
148125,"HEALTHY HEART NURSE, INC",24560 S KINGS ROAD,CRETE,IL,60417,7083671300,PROPRIETARY,2/24/2010,Y,Y,Y,Y,Y,Y,71,199,199,97,17,11,199,100,199,199,199,100,90,199,199,199,199,199,199,201,199,201,27
148126,"ROYAL HOME HEALTH SERVICES, INC","14810 S CICERO AVE, UNIT 2D",OAK FOREST,IL,60452,7085350277,PROPRIETARY,3/30/2010,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148127,"MEDSTAR HOME HEALTH SERVICES, LTD","1019 W FULTON, SUITE 200",CHICAGO,IL,60607,3122262828,PROPRIETARY,1/26/2010,Y,Y,Y,Y,Y,Y,83,98,98,98,66,58,100,100,100,199,199,199,97,53,67,56,84,86,199,201,42,201,28
148128,"SACRED HEART HOME HEALTH, INC","9850 S CICERO AVE, STE 6",OAK LAWN,IL,60453,7084222956,PROPRIETARY,1/27/2010,Y,Y,Y,Y,Y,Y,90,100,100,100,52,46,199,100,100,199,199,100,95,199,199,91,95,89,199,201,199,201,28
148129,"CRESCENT CARE HOME HEALTH, INC","201 E ARMY TRAIL RD, STE 206",BLOOMINGDALE,IL,60108,8474665151,PROPRIETARY,4/7/2010,Y,Y,Y,Y,Y,Y,91,199,100,100,86,74,199,100,199,199,199,100,94,199,199,199,199,199,199,201,199,201,50
148130,"TOTAL HOME HEALTHCARE, INC","4001 WEST DEVON AVENUE, STE 509",CHICAGO,IL,60646,7738532641,PROPRIETARY,1/14/2010,Y,Y,Y,Y,N,Y,96,100,100,100,89,92,199,97,97,199,199,100,94,73,46,78,83,68,199,201,60,201,23
148131,"GUARDIAN HOME HEALTH SERVICES, INC","7132 N HARLEM, STE 107",CHICAGO,IL,60631,7736317975,PROPRIETARY,3/17/2010,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148132,"HOPE HOME HEALTH, INC",18456 POPLAR AVENUE,HOMEWOOD,IL,60430,7086472929,PROPRIETARY,4/6/2010,Y,Y,Y,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
148133,"TURNING POINT HOME HEALTH, INC","10300 S ROUTE 589, STE 108",NAPERVILLE,IL,60564,6303054335,PROPRIETARY,3/17/2010,Y,Y,Y,Y,Y,Y,100,199,100,98,83,85,199,100,199,199,199,100,100,40,34,87,4,17,199,201,17,201,10
148134,"HOME TOUCH HEALTHCARE, INC","2015 US HIGHWAY 34, STE 1",OSWEGO,IL,60543,6305851457,PROPRIETARY,4/20/2010,Y,Y,Y,Y,Y,Y,98,100,100,100,64,51,199,100,95,199,199,199,97,63,65,75,82,68,199,201,199,201,30
