ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing,Physical,Occupational Therapy,Speech Therapy,Medical Social,Home Health Aide,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients had more pressure sores (bed sores) when home health care ended.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
47801,BAXTER COUNTY HEALTH UNIT,"213 EAST 6TH STREET, SUITE 40",MOUNTAIN HOME,AR,72653,8704246655,State/County,7/1/66 0:00,Y,Y,Y,Y,N,Y,90,90,199,50,199,70,199,90,199,199,199,199,87,31,15,38,35,199,199,201,199,201,40
47803,BOONE COUNTY HEALTH UNIT,1622 CAMPUS DRIVE,HARRISON,AR,72601,8707436001,State/County,7/1/66 0:00,Y,Y,Y,Y,N,Y,91,85,97,99,64,70,41,97,67,199,27,36,95,24,31,41,47,38,89,201,26,201,24
47804,BRADLEY COUNTY HEALTH UNIT,208 NORTH BRAGG STREET,WARREN,AR,71671,8702266990,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,38,199,199,199,199,199,201,199,201,43
47805,CARROLL COUNTY HEALTH UNIT,402 HAILEY ROAD,BERRYVILLE,AR,72616,8704232506,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,90,38,100,97,199,76,199,100,83,199,75,100,95,39,30,45,38,33,199,201,30,201,28
47806,CHICOT COUNTY HEALTH UNIT,608 HIGHWAY 65 AND 82 SOUTH SUITE A,LAKE VILLAGE,AR,71653,8702653986,State/County,7/1/66 0:00,Y,Y,Y,N,N,Y,96,100,98,100,73,65,199,100,100,199,199,100,100,32,29,39,44,18,63,201,8,201,29
47807,CLARK COUNTY HEALTH UNIT,605 SOUTH TENTH STREET,ARKADELPHIA,AR,71923,8702464078,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
47809,CLEBURNE COUNTY HEALTH UNIT,"2319 HIGHWAY 110 WEST, SUITE C",HEBER SPRINGS,AR,72543,5013624602,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,93,89,100,100,89,85,199,100,96,199,199,199,100,43,42,64,33,37,89,201,35,201,30
47810,COLUMBIA COUNTY HEALTH UNIT,207 WEST CALHOUN,MAGNOLIA,AR,71753,8702347183,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,29
47811,CONWAY COUNTY HEALTH UNIT,100 HOSPITAL DRIVE,MORRILTON,AR,72110,5013545434,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,44
47812,CRAIGHEAD COUNTY HEALTH UNIT,611 EAST WASHINGTON AVE SUITE C,JONESBORO,AR,72401,8709338734,State/County,7/1/66 0:00,Y,Y,Y,Y,N,Y,77,94,100,100,91,81,199,100,199,199,199,199,100,41,33,58,42,40,199,201,24,201,32
47814,CRITTENDEN COUNTY HEALTH UNIT,901 NORTH SEVENTH STREET,WEST MEMPHIS,AR,72301,8707323794,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,30
47816,DALLAS COUNTY HEALTH UNIT,201 NORTH SPRING STREET,FORDYCE,AR,71742,8703522911,State/County,7/1/66 0:00,Y,N,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
47818,DREW COUNTY HEALTH UNIT,600 C HIGHWAY 425 N,MONTICELLO,AR,71655,8703670283,State/County,7/1/66 0:00,Y,Y,N,Y,N,Y,100,38,199,100,199,3,199,93,199,199,199,199,100,30,22,29,33,199,199,201,199,201,51
47819,FAULKNER COUNTY HEALTH UNIT,"1101 MUSEUM ROAD, SUITE 7",CONWAY,AR,72032,5014504959,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,92,85,199,100,199,52,199,100,199,199,199,199,100,29,18,31,23,28,199,201,199,201,30
47820,FULTON COUNTY HEALTH UNIT,510 SOUTH MAIN STREET,SALEM,AR,72576,8708953300,State/County,7/1/66 0:00,Y,Y,Y,Y,N,Y,96,95,199,96,199,33,199,89,95,199,199,199,96,37,8,40,66,40,199,201,199,201,38
47821,GARLAND COUNTY HEALTH UNIT,1425 MALVERN AVENUE,HOT SPRINGS,AR,71901,5016243397,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,41,199,59,199,199,199,201,199,201,32
47822,GRANT COUNTY HEALTH UNIT,"204 NORTH OAK, SUITE A",SHERIDAN,AR,72150,8709427845,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,50
47823,GREENE COUNTY HEALTH UNIT,200 NORTH SECOND,PARAGOULD,AR,72450,8702361716,State/County,6/11/70 0:00,Y,Y,N,N,N,Y,79,100,199,92,199,82,199,100,199,199,199,199,100,37,17,45,60,24,199,201,199,201,26
47824,HEMPSTEAD COUNTY HEALTH UNIT,"100 EAST 20TH, SUITE E & F",HOPE,AR,71801,8707779424,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,95,97,95,97,63,36,199,98,100,199,199,199,100,32,40,45,70,49,199,201,24,201,32
47825,HOT SPRING COUNTY HEALTH UNIT,2204 EAST SULLENBERGER,MALVERN,AR,72104,5013326996,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,97,100,100,97,70,67,199,94,199,199,199,199,84,36,36,44,52,199,199,201,33,201,33
47826,HOWARD COUNTY HEALTH UNIT,201 EAST HEMPSTEAD SUITE 2,NASHVILLE,AR,71852,8708452058,State/County,7/1/66 0:00,Y,Y,Y,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,43,199,30,199,199,199,201,199,201,35
47827,INDEPENDENCE COUNTY HEALTH UNIT,120 WEAVER AVENUE,BATESVILLE,AR,72501,8707938852,State/County,7/1/66 0:00,Y,Y,Y,Y,Y,Y,94,96,96,94,199,86,199,97,199,199,199,199,100,31,24,37,43,0,83,201,8,201,35
47828,JACKSON COUNTY HEALTH UNIT,1505 NORTH PECAN STREET,NEWPORT,AR,72112,8705234583,State/County,7/1/66 0:00,Y,Y,N,Y,N,Y,92,88,100,98,97,89,199,100,100,199,199,95,100,28,22,31,40,14,199,201,20,201,41
47829,JEFFERSON COUNTY HEALTH UNIT,3400 WEST 34TH STREET,PINE BLUFF,AR,71603,8708506978,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,95,199,199,95,199,45,199,95,199,199,199,199,100,199,199,199,199,199,199,201,199,201,38
47830,JOHNSON COUNTY HEALTH UNIT,1219 SOUTH ROGERS STREET,CLARKSVILLE,AR,72830,4797543002,State/County,7/1/66 0:00,Y,Y,Y,Y,Y,Y,95,71,97,100,80,61,199,95,199,199,199,85,100,35,36,42,52,57,70,201,27,201,31
47831,LAFAYETTE COUNTY HEALTH UNIT,1113 CHESTNUT STREET,LEWISVILLE,AR,71845,8709214509,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,25
47832,LAWRENCE COUNTY HEALTH UNIT,1050 WEST FREE STREET,WALNUT RIDGE,AR,72476,8708863201,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,90,5,97,100,86,95,199,100,97,199,199,199,100,36,35,54,72,13,199,201,199,201,30
47833,LEE COUNTY HEALTH UNIT,141 NORTH HICKY STREET,MARIANNA,AR,72360,8702952400,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,97,79,82,71,30,7,87,87,88,199,199,96,87,33,27,40,74,44,95,201,19,201,41
47834,LINCOLN COUNTY HEALTH UNIT,214 SOUTH LINCOLN,STAR CITY,AR,71667,8706285072,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,96,73,95,100,199,57,199,96,199,199,199,199,100,64,53,78,199,199,199,201,199,201,32
47835,LOGAN COUNTY HEALTH UNIT PARIS,150 SOUTH LOWDER STREET,PARIS,AR,72855,4799633159,State/County,7/1/66 0:00,Y,Y,Y,Y,Y,Y,90,84,95,78,38,12,199,93,92,199,95,69,78,37,28,47,20,22,199,201,24,201,27
47836,LONOKE COUNTY HEALTH UNIT,306 NORTH CENTER,LONOKE,AR,72086,5016763260,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,35,199,199,199,199,199,201,199,201,35
47837,MARION COUNTY HEALTH UNIT,707 HIGHWAY 202 WEST,YELLVILLE,AR,72687,8704496363,State/County,7/1/66 0:00,Y,Y,Y,N,N,Y,98,97,100,100,42,62,199,100,96,199,199,199,98,36,15,47,69,31,95,201,6,201,44
47838,MILLER COUNTY HEALTH UNIT,503 WALNUT,TEXARKANA,AR,71854,8707732108,State/County,7/1/66 0:00,Y,Y,N,Y,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,31,199,45,68,199,199,201,199,201,34
47839,MISSISSIPPI COUNTY HEALTH UNIT BLYTHEVILLE,1299 NORTH TENTH STREET,BLYTHEVILLE,AR,72315,8707637064,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,90,88,95,100,199,21,199,97,199,199,199,199,83,34,22,31,37,13,199,201,199,201,37
47840,MONROE COUNTY HEALTH UNIT,915 SOUTH GRAND AVENUE,BRINKLEY,AR,72021,8707341724,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,93,96,94,99,40,8,199,97,199,199,199,199,100,31,17,34,199,25,98,201,30,201,41
47841,MONTGOMERY COUNTY HEALTH UNIT,346 LUZERNE,MOUNT IDA,AR,71957,8708673138,State/County,7/1/66 0:00,Y,N,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,8,199,37,199,35,199,201,199,201,23
47842,NEVADA COUNTY HEALTH UNIT,1501 WEST FIRST STREET NORTH,PRESCOTT,AR,71857,8708872640,State/County,4/18/68 0:00,Y,Y,N,N,Y,Y,95,100,199,100,199,199,199,100,199,199,199,199,100,31,37,47,199,18,199,201,199,201,24
47844,OUACHITA COUNTY HEALTH UNIT,740 CALIFORNIA AVENUE SW,CAMDEN,AR,71701,8708367395,State/County,7/1/66 0:00,Y,N,N,N,N,Y,100,96,199,96,199,48,199,100,199,199,199,199,100,25,31,42,199,46,199,201,199,201,39
47845,PERRY COUNTY HEALTH UNIT,1039 NORTH FOUCHE AVENUE,PERRYVILLE,AR,72126,5018895156,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,30,21,39,31,32,199,201,199,201,23
47846,PHILLIPS COUNTY HEALTH UNIT,SHIRLEY HICKS DRIVE-HWY 49 BYPASS,WEST HELENA,AR,72390,8705729028,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,94,79,88,91,45,24,95,89,76,199,96,94,80,41,39,55,66,54,92,201,29,201,47
47847,PIKE COUNTY HEALTH UNIT,15 CADDO DRIVE,MURFREESBORO,AR,71958,8702853155,State/County,7/1/66 0:00,Y,Y,Y,N,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,31,64,49,199,199,199,201,199,201,27
47848,POINSETT COUNTY HEALTH UNIT,119 NORTH MAIN,HARRISBURG,AR,72432,8705782359,State/County,7/1/66 0:00,Y,Y,N,Y,N,Y,100,94,100,97,84,69,199,97,100,199,199,199,100,43,25,59,54,43,199,201,40,201,25
47849,POLK COUNTY HEALTH UNIT,702 HORNBECK,MENA,AR,71953,4793943433,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,21,29,36,24,22,199,201,199,201,12
47850,POPE COUNTY HEALTH UNIT,1509 EAST MAIN SUITE 6,RUSSELLVILLE,AR,72801,4798904834,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,99,92,99,100,74,52,72,100,86,199,199,100,99,38,43,52,60,24,90,201,21,201,28
47851,PRAIRIE COUNTY HEALTH UNIT,204 MAIN STREET,DES ARC,AR,72040,8702563065,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,100,80,199,91,199,4,199,100,199,199,199,199,100,23,8,22,199,0,199,201,199,201,34
47852,RANDOLPH COUNTY HEALTH UNIT,1907 OLD COUNTY ROAD,POCAHONTAS,AR,72455,8708928046,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,75,199,199,100,199,199,199,100,199,199,199,199,100,199,199,199,199,47,199,201,199,201,35
47853,ST FRANCIS COUNTY HEALTH UNIT,413 NORTH DIVISION,FORREST CITY,AR,72335,8706331340,State/County,7/1/66 0:00,Y,Y,Y,N,N,Y,94,85,88,91,76,55,199,97,95,199,199,199,97,26,18,25,52,24,199,201,199,201,36
47854,SALINE COUNTY HEALTH UNIT,1612 EDISON AVENUE,BENTON,AR,72015,5017761606,State/County,7/1/66 0:00,Y,Y,Y,Y,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,26,199,40,199,199,199,201,199,201,32
47855,SCOTT COUNTY HEALTH UNIT,73 HIGHWAY 71 BYPASS,WALDRON,AR,72958,4796374020,State/County,7/1/66 0:00,Y,Y,N,N,Y,Y,98,82,95,95,65,79,199,93,90,199,85,94,95,26,21,48,28,33,199,201,44,201,34
47858,SHARP COUNTY HEALTH UNIT,724 ASH FLAT DRIVE,ASH FLAT,AR,72513,8709942816,State/County,7/1/66 0:00,Y,Y,Y,Y,N,Y,96,71,100,96,60,48,199,98,97,199,199,199,98,36,24,43,66,22,88,201,17,201,37
47859,UNION COUNTY HEALTH UNIT,301 AMERICAN ROAD,EL DORADO,AR,71730,8708633351,State/County,7/1/66 0:00,Y,N,N,N,N,Y,100,199,199,95,199,199,199,100,199,199,199,199,100,47,199,44,199,56,199,201,199,201,22
47860,VAN BUREN COUNTY HEALTH UNIT,526 QUALITY DRIVE,CLINTON,AR,72031,5017452432,State/County,7/1/66 0:00,Y,Y,Y,Y,Y,Y,100,86,97,63,79,63,199,89,97,199,199,199,89,36,51,53,46,35,92,201,39,201,30
47862,WHITE COUNTY HEALTH UNIT,112 BRANTLY ROAD,SEARCY,AR,72143,5012686304,State/County,7/1/66 0:00,Y,Y,Y,N,Y,Y,88,41,96,95,199,56,199,95,92,199,199,199,100,31,62,62,53,64,199,201,57,201,32
47863,WOODRUFF COUNTY HEALTH UNIT,623 NORTH 9TH STREET,AUGUSTA,AR,72006,8703475915,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,95,199,199,90,199,35,199,100,199,199,199,199,100,199,199,199,199,199,199,201,199,201,58
47864,YELL COUNTY HEALTH UNIT DARDANELLE,719 NORTH FIFTH,DARDANELLE,AR,72834,4792291496,State/County,7/1/66 0:00,Y,Y,Y,Y,Y,Y,94,87,100,100,199,94,199,97,100,199,199,199,100,30,13,47,44,23,199,201,30,201,29
47865,ARKANSAS COUNTY HEALTH UNIT,1602 NORTH BUERKLE,STUTTGART,AR,72160,8706736601,State/County,7/1/66 0:00,Y,Y,N,N,N,Y,97,97,100,100,199,100,100,100,100,199,100,97,97,34,29,28,63,41,199,201,8,201,40
47869,SEARCY COUNTY HEALTH UNIT,742 AIRPORT ROAD,MARSHALL,AR,72650,8704485060,State/County,7/9/68 0:00,Y,Y,N,N,N,Y,92,89,97,96,88,78,62,100,94,199,84,96,94,26,16,49,57,32,94,201,23,201,35
47870,IZARD COUNTY HEALTH UNIT,1015 HALEY STREET,MELBOURNE,AR,72556,8703684966,State/County,7/10/68 0:00,Y,Y,N,Y,N,Y,94,80,100,87,78,73,199,98,92,199,199,199,96,52,54,61,63,56,82,201,40,201,26
47871,STONE COUNTY HEALTH UNIT,204 WHITFIELD STREET,MOUNTAIN VIEW,AR,72560,8702692598,State/County,6/5/69 0:00,Y,Y,Y,N,N,Y,91,61,97,71,74,61,199,67,100,199,199,199,98,40,28,45,56,21,92,201,48,201,54
47872,NEWTON COUNTY HEALTH UNIT,506 WEST COURT STREET,JASPER,AR,72641,8704462286,State/County,7/22/70 0:00,Y,Y,N,N,N,Y,98,84,93,91,70,69,199,95,89,199,199,91,91,39,35,55,56,31,93,201,35,201,42
47873,CLEVELAND COUNTY HEALTH UNIT,409 EAST MAGNOLIA STREET,RISON,AR,71665,8703256132,State/County,7/8/71 0:00,Y,Y,N,N,N,Y,96,100,199,100,199,0,199,100,199,199,199,199,100,199,199,199,199,199,199,201,199,201,48
47874,CROSS COUNTY HEALTH UNIT,704 CANAL STREET,WYNNE,AR,72396,8702384349,State/County,5/10/72 0:00,Y,Y,Y,Y,Y,Y,92,43,96,66,199,37,199,83,199,199,199,199,86,36,20,33,59,25,199,201,13,201,37
47875,SEVIER COUNTY HEALTH UNIT,304 NORTH FOURTH STREET,DE QUEEN,AR,71832,8706422535,State/County,7/1/72 0:00,Y,N,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
47876,LITTLE RIVER COUNTY HEALTH UNIT,150 KELLER,ASHDOWN,AR,71822,8708983141,State/County,4/3/74 0:00,Y,N,N,N,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
47877,CALHOUN COUNTY HEALTH UNIT,1119 PRESTRESS DRIVE,HAMPTON,AR,71744,8707982808,State/County,5/22/74 0:00,Y,N,N,N,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
47878,CLAY COUNTY HEALTH UNIT,1009 SOUTH GARFIELD,PIGGOTT,AR,72454,8705985566,State/County,4/22/74 0:00,Y,Y,N,N,N,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,18
47880,YELL COUNTY HEALTH UNIT DANVILLE,1309 EAST EIGHTH STREET,DANVILLE,AR,72833,4794957615,State/County,5/13/86 0:00,Y,Y,Y,Y,N,Y,100,199,199,100,199,199,199,100,199,199,199,199,100,26,16,29,17,199,199,201,199,201,51
47883,ARKANSAS COUNTY HEALTH UNIT,1616 SOUTH MADISON,DE WITT,AR,72042,8709462662,State/County,3/31/87 0:00,Y,Y,N,N,N,Y,96,57,199,75,199,23,199,100,199,199,199,199,83,33,17,36,35,18,199,201,199,201,31
47884,LOGAN COUNTY HEALTH UNIT BOONEVILLE,721 WEST 1ST STREET,BOONEVILLE,AR,72927,4796754370,State/County,4/29/87 0:00,Y,Y,N,N,Y,Y,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,201,199,201,199
47886,ASHLEY COUNTY HEALTH UNIT,1300 WEST FIFTH AVENUE,CROSSETT,AR,71635,8703644035,State/County,6/9/87 0:00,Y,Y,Y,Y,N,Y,83,86,100,100,199,24,199,97,85,199,199,199,100,33,31,50,55,40,199,201,199,201,26
47887,DESHA COUNTY HEALTH UNIT,751 HIGHWAY 65 SOUTH,DUMAS,AR,71639,8702752580,State/County,6/12/87 0:00,Y,Y,N,N,N,Y,93,100,100,97,199,0,199,97,199,199,199,199,97,42,199,70,71,35,199,201,199,201,35
47888,PULASKI COUNTY HEALTH UNIT,"3600 CANTRELL ROAD, SUITE 203",LITTLE ROCK,AR,72202,5012803234,State/County,5/3/82 0:00,Y,Y,Y,N,N,Y,100,97,199,100,18,19,199,100,100,199,199,199,100,199,199,199,199,199,199,201,199,201,36
47889,MISSISSIPPI COUNTY HEALTH UNIT OSCEOLA,720 WEST LEE STREET,OSCEOLA,AR,72370,8705632521,State/County,8/2/95 0:00,Y,Y,Y,Y,N,Y,100,90,199,100,199,100,199,100,100,199,199,199,100,27,21,44,27,29,199,201,25,201,21
57002,"CENTRAL COAST VNA & HOSPICE, INC",5 LOWER RAGSDALE DRIVE,MONTEREY,CA,93942,8313726668,Private,7/1/66 0:00,Y,Y,Y,Y,Y,Y,65,83,99,94,80,72,88,98,97,96,94,91,93,46,54,65,61,61,72,201,48,201,23
57003,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,"1625 VAN NESS AVENUE, 4TH FLOOR A",SAN FRANCISCO,CA,94109,4156000400,Private,7/1/66 0:00,Y,Y,Y,Y,Y,Y,85,79,94,87,33,30,75,97,92,94,73,82,99,46,55,65,63,62,81,201,48,201,25
57004,SUTTER VISITING NURSE ASSOCIATION AND HOSPICE,"1900 POWELL STREET, SUITE 300",EMERYVILLE,CA,94608,5104508500,Private,7/1/66 0:00,Y,Y,Y,Y,Y,Y,61,81,97,94,48,47,83,98,97,97,96,95,99,43,54,63,63,65,80,201,44,201,23
57007,VISITING NURSE ASSOCIATION OF SANTA CRUZ COUNTY,"2880 SOQUEL AVENUE, SUITE 10",SANTA CRUZ,CA,95062,8314796625,Private,7/1/66 0:00,Y,Y,Y,Y,Y,Y,98,92,97,91,37,33,89,95,98,100,98,98,97,45,63,65,51,61,76,201,46,201,18
57008,VNA AND HOSPICE OF SO CALIFORN,150 W FIRST ST STE 270,CLAREMONT,CA,91711,9096243574,Proprietary,7/1/66 0:00,Y,Y,Y,Y,Y,Y,90,93,99,95,60,61,95,99,99,100,96,99,98,39,51,59,49,46,62,201,37,201,23
57013,VISITING NURSE ASSN OF THE INLAND COUNTIES,6235 RIVER CREST DR STE L,RIVERSIDE,CA,92507,9514131200,Private,7/1/66 0:00,Y,Y,Y,Y,Y,Y,85,77,97,96,41,37,74,98,94,93,84,93,98,39,49,56,56,53,74,201,35,201,26
57018,"VNA OF GREATER LOS ANGELES, INC","3452 E FOOTHILL BLVD, STE 130",PASADENA,CA,91107,6265682588,Proprietary,7/1/66 0:00,Y,Y,Y,Y,Y,Y,81,85,100,81,73,75,199,98,100,199,83,97,85,45,60,61,64,70,77,201,50,201,31
57019,MARSHALL HOME CARE,"681 MAIN STREET, SUITE 206",PLACERVILLE,CA,95667,5306262900,Other,7/1/66 0:00,Y,Y,Y,Y,Y,Y,90,87,98,82,70,76,48,97,91,100,72,88,96,39,54,58,48,59,75,201,31,201,27
57021,VNA HOME HEALTH  SYSTEMS,"2500 RED HILL AVENUE, SUITE 105",SANTA ANA,CA,92705,9492634700,Other,7/1/66 0:00,Y,Y,Y,Y,Y,Y,62,78,100,86,74,69,72,97,95,96,87,89,94,52,57,69,66,73,84,201,52,201,32
57031,SUTTER VISITING NURSE ASSOCIATION,"4000 CIVIC CENTER DRIVE, SUITE 190",SAN RAFAEL,CA,94903,4154924600,Private,7/1/66 0:00,Y,Y,Y,Y,Y,Y,88,79,94,91,74,68,77,97,96,97,92,93,96,43,58,62,58,61,80,201,39,201,25
57033,UCSF HOME HEALTH CARE,3330 GEARY BLVD FIRST FLOOR,SAN FRANCISCO,CA,94118,4153533100,Private,7/1/66 0:00,Y,Y,Y,Y,Y,Y,75,75,92,91,23,11,67,99,93,100,78,87,98,44,63,64,60,65,75,201,43,201,20
57036,GENTIVA HEALTH SERVICES,1260 N DUTTON AVE STE 150,SANTA ROSA,CA,95401,7075457114,Proprietary,7/1/66 0:00,Y,Y,Y,Y,Y,Y,87,77,71,99,73,63,71,100,94,199,84,85,100,43,42,62,49,61,80,201,37,201,22
57040,LIVINGSTON MEMORIAL VISITING NURSE ASSOCIATION,1996 EASTMAN AVE STE 101,VENTURA,CA,93003,8056420239,Private,7/1/66 0:00,Y,Y,Y,Y,Y,Y,87,78,88,94,63,49,83,97,96,98,93,95,98,42,62,63,55,61,54,201,40,201,21
57053,KAISER FOUNDATION HOSPITAL LOS ANGELES HHA,3699 WILSHIRE BLVD 3RD FLOOR,LOS ANGELES,CA,90010,3237834375,Other,7/1/66 0:00,Y,Y,Y,Y,Y,Y,92,68,97,79,87,95,91,97,98,96,96,95,89,51,62,72,77,70,85,201,48,201,27
57071,KAISER FOUNDATION HOSP HOME HEALTH - SAN FRANCISCO,4131 GEARY BOULEVARD,SAN FRANCISCO,CA,94118,4152023500,Private,7/1/72 0:00,Y,Y,Y,Y,Y,Y,94,90,99,98,80,84,96,99,99,96,99,100,100,35,48,58,54,66,87,201,35,201,28
57072,SADDLEBACK COORDINATED HOME CARE,"23521 PASEO DE VALENCIA, STE 100",LAGUNA HILLS,CA,92653,9494601500,Private,1/1/73 0:00,Y,Y,Y,Y,Y,Y,97,94,99,99,59,43,95,100,99,96,96,99,99,44,54,66,57,50,79,201,42,201,20
57100,LOMA LINDA UNIV MED CTR HHA,11265 MT VIEW AVE STE H14,LOMA LINDA,CA,92354,9095583096,Proprietary,10/12/67 0:00,Y,Y,Y,Y,Y,Y,82,84,94,99,7,8,85,99,92,98,90,94,99,45,59,69,55,63,78,201,45,201,22
57114,WESTERN HEALTH HOMECARE,"690 OTAY LAKES ROAD, SUITE 120",CHULA VISTA,CA,91910,6193977800,Religious Affiliations,1/1/69 0:00,Y,Y,Y,Y,Y,Y,79,59,92,76,83,72,89,91,84,199,199,199,100,50,66,74,78,78,75,201,54,201,23
57129,TRINITYCARE EXTENDED CARE,901 CORPORATE CENTER DRIVE SUITE 406,MONTEREY PARK,CA,91754,3239814488,Religious Affiliations,1/16/78 0:00,Y,N,N,N,N,Y,201,201,201,201,201,201,201,201,201,201,201,201,201,199,199,199,199,199,199,201,199,201,199
57135,SAINT AGNES HOME HEALTH AND HOSPICE,1111 EAST SPRUCE AVENUE,FRESNO,CA,93720,5594505112,Religious Affiliations,5/25/70 0:00,Y,Y,Y,Y,Y,Y,94,79,100,98,79,75,97,99,98,97,99,100,99,48,61,73,64,66,70,201,44,201,15
57136,CARESOUTH HOME HEALTH,"12419 LEWIS, SUITE 101 & 104",GARDEN GROVE,CA,92840,7146632703,Proprietary,6/12/70 0:00,Y,Y,Y,Y,Y,Y,97,92,97,97,78,72,91,98,99,199,97,94,100,43,50,71,77,59,93,201,38,201,28
57138,ST HELENA HOSPITAL HOME CARE SVCS-ADVENTIST HEALTH,27 WOODLAND ROAD,SAINT HELENA,CA,94574,7079675770,Religious Affiliations,8/6/70 0:00,Y,Y,Y,Y,Y,N,85,58,98,51,59,52,82,92,99,199,100,98,89,47,56,68,57,61,93,201,42,201,21
57143,GENTIVA HEALTH SERVICES,2525 CAMINO DEL RIO S STE 22O,SAN DIEGO,CA,92108,6192999900,Proprietary,12/30/70 0:00,Y,Y,Y,Y,Y,Y,70,67,99,97,79,71,62,99,95,95,70,70,97,46,47,67,54,66,77,201,42,201,26
57163,VISITING NURSE AND HOSPICE CARE OF SANTA BARBARA,222 E CANON PERDIDO ST,SANTA BARBARA,CA,93101,8059636794,Other,5/15/74 0:00,Y,Y,Y,Y,Y,Y,81,60,96,88,65,64,78,92,97,95,86,81,80,40,45,60,54,61,62,201,44,201,26
